Date,Product Name,Category,Units Sold,Price,Revenue,Discount,Units Returned,Location,Platform,protein,weight loss,carbs,diet,gym,ozempic
2018-10-01,,,,,,,,,,24,13,16,51,26,0
2018-11-01,,,,,,,,,,21,12,15,45,30,0
2018-12-01,,,,,,,,,,19,13,13,48,32,0
2019-01-01,,,,,,,,,,28,18,28,75,37,0
2019-02-01,,,,,,,,,,26,17,21,60,34,0
2019-03-01,,,,,,,,,,26,16,22,59,34,0
2019-04-01,,,,,,,,,,24,16,20,61,29,0
2019-05-01,,,,,,,,,,23,16,20,51,30,0
2019-06-01,,,,,,,,,,24,16,20,53,33,0
2019-07-01,,,,,,,,,,22,16,20,50,31,0
2019-08-01,,,,,,,,,,21,14,19,47,30,0
2019-09-01,,,,,,,,,,24,13,18,45,29,0
2019-10-01,,,,,,,,,,24,12,16,46,26,0
2019-11-01,,,,,,,,,,21,12,14,42,32,0
2019-12-01,,,,,,,,,,19,13,12,41,32,0
2020-01-06,Whey Protein,Protein,143,31.98,4573.14,0.03,2,Canada,Walmart,29,19,23,62,41,1
2020-01-06,Collagen Peptides,Protein,147,10.96,1611.12,0.06,2,USA,Amazon,,,,,,
2020-01-13,Whey Protein,Protein,150,12.08,1812,0.02,2,UK,Amazon,,,,,,
2020-01-13,Collagen Peptides,Protein,134,56.4,7557.6,0.06,1,Canada,iHerb,,,,,,
2020-01-20,Whey Protein,Protein,157,41.81,6564.17,0.19,0,USA,Walmart,,,,,,
2020-01-20,Collagen Peptides,Protein,161,39.41,6345.01,0.12,2,UK,Walmart,,,,,,
2020-01-27,Whey Protein,Protein,137,26.73,3662.01,0.01,0,UK,Amazon,,,,,,
2020-01-27,Collagen Peptides,Protein,126,11.68,1471.68,0.02,3,Canada,Walmart,,,,,,
2020-02-03,Whey Protein,Protein,165,33.11,5463.15,0.1,2,Canada,iHerb,28,17,20,52,33,1
2020-02-03,Collagen Peptides,Protein,153,49.9,7634.7,0.1,3,UK,Amazon,,,,,,
2020-02-10,Whey Protein,Protein,163,45.51,7418.13,0.08,1,UK,iHerb,,,,,,
2020-02-10,Collagen Peptides,Protein,155,53.56,8301.8,0.19,2,UK,Walmart,,,,,,
2020-02-17,Whey Protein,Protein,143,24.86,3554.98,0.07,2,Canada,iHerb,,,,,,
2020-02-17,Collagen Peptides,Protein,132,34.38,4538.16,0.16,3,Canada,Walmart,,,,,,
2020-02-24,Whey Protein,Protein,150,59.64,8946,0.03,1,UK,Walmart,,,,,,
2020-02-24,Collagen Peptides,Protein,169,36.7,6202.3,0.04,0,Canada,iHerb,,,,,,
2020-03-02,Whey Protein,Protein,155,27.03,4189.65,0.02,1,Canada,Amazon,21,12,13,35,31,0
2020-03-02,Collagen Peptides,Protein,152,48.1,7311.2,0.21,1,UK,Amazon,,,,,,
2020-03-09,Whey Protein,Protein,149,34.17,5091.33,0.22,2,USA,Walmart,,,,,,
2020-03-09,Collagen Peptides,Protein,162,20.54,3327.48,0.24,0,UK,Amazon,,,,,,
2020-03-16,Whey Protein,Protein,140,50.17,7023.8,0.23,1,Canada,iHerb,,,,,,
2020-03-16,Collagen Peptides,Protein,158,51.97,8211.26,0,1,Canada,iHerb,,,,,,
2020-03-23,Whey Protein,Protein,148,20.44,3025.12,0.09,1,UK,Walmart,,,,,,
2020-03-23,Collagen Peptides,Protein,156,48.7,7597.2,0.19,1,Canada,Amazon,,,,,,
2020-03-30,Whey Protein,Protein,138,41.12,5674.56,0.2,1,Canada,iHerb,,,,,,
2020-03-30,Collagen Peptides,Protein,165,58.03,9574.95,0.05,4,Canada,iHerb,,,,,,
2020-04-06,Whey Protein,Protein,160,29.62,4739.2,0.19,3,UK,iHerb,23,14,12,36,21,0
2020-04-06,Collagen Peptides,Protein,153,26.58,4066.74,0.21,0,Canada,iHerb,,,,,,
2020-04-13,Whey Protein,Protein,147,26.26,3860.22,0.18,2,Canada,Walmart,,,,,,
2020-04-13,Collagen Peptides,Protein,142,19.76,2805.92,0.09,1,USA,Amazon,,,,,,
2020-04-20,Whey Protein,Protein,169,43.7,7385.3,0.01,2,USA,Walmart,,,,,,
2020-04-20,Collagen Peptides,Protein,147,29.88,4392.36,0.07,0,USA,iHerb,,,,,,
2020-04-27,Whey Protein,Protein,148,29.95,4432.6,0.21,0,USA,Amazon,,,,,,
2020-04-27,Collagen Peptides,Protein,138,47.14,6505.32,0.18,1,UK,iHerb,,,,,,
2020-05-04,Whey Protein,Protein,127,43.21,5487.67,0.22,2,Canada,iHerb,24,19,16,44,26,0
2020-05-04,Collagen Peptides,Protein,140,18.26,2556.4,0,2,UK,iHerb,,,,,,
2020-05-11,Whey Protein,Protein,146,20.22,2952.12,0.13,1,Canada,iHerb,,,,,,
2020-05-11,Collagen Peptides,Protein,152,21.01,3193.52,0.09,1,Canada,iHerb,,,,,,
2020-05-18,Whey Protein,Protein,149,23.55,3508.95,0.05,1,USA,iHerb,,,,,,
2020-05-18,Collagen Peptides,Protein,140,11.95,1673,0.17,1,UK,iHerb,,,,,,
2020-05-25,Whey Protein,Protein,160,45.37,7259.2,0.1,1,UK,Amazon,,,,,,
2020-05-25,Collagen Peptides,Protein,150,17.68,2652,0.14,1,UK,Amazon,,,,,,
2020-06-01,Whey Protein,Protein,142,26.31,3736.02,0.07,0,USA,iHerb,23,18,17,43,30,1
2020-06-01,Collagen Peptides,Protein,143,52.01,7437.43,0.25,3,UK,iHerb,,,,,,
2020-06-08,Whey Protein,Protein,152,28.73,4366.96,0.2,1,UK,Amazon,,,,,,
2020-06-08,Collagen Peptides,Protein,160,51.38,8220.8,0.04,0,USA,Walmart,,,,,,
2020-06-15,Whey Protein,Protein,163,48.76,7947.88,0.06,1,UK,iHerb,,,,,,
2020-06-15,Collagen Peptides,Protein,148,22.33,3304.84,0.12,2,USA,Amazon,,,,,,
2020-06-22,Whey Protein,Protein,144,42.93,6181.92,0.23,2,Canada,iHerb,,,,,,
2020-06-22,Collagen Peptides,Protein,145,51.03,7399.35,0.12,1,Canada,Walmart,,,,,,
2020-06-29,Whey Protein,Protein,146,50.73,7406.58,0.15,1,Canada,Walmart,,,,,,
2020-06-29,Collagen Peptides,Protein,151,31.57,4767.07,0.09,3,Canada,iHerb,,,,,,
2020-07-06,Whey Protein,Protein,129,15.01,1936.29,0,2,UK,iHerb,25,18,17,44,27,1
2020-07-06,Collagen Peptides,Protein,131,26.87,3519.97,0.22,0,USA,Walmart,,,,,,
2020-07-13,Whey Protein,Protein,146,46.9,6847.4,0.09,2,Canada,iHerb,,,,,,
2020-07-13,Collagen Peptides,Protein,144,39.71,5718.24,0.15,2,UK,Walmart,,,,,,
2020-07-20,Whey Protein,Protein,154,55.86,8602.44,0.1,0,UK,Walmart,,,,,,
2020-07-20,Collagen Peptides,Protein,180,35.72,6429.6,0.02,2,Canada,Walmart,,,,,,
2020-07-27,Whey Protein,Protein,148,52.5,7770,0.05,0,UK,iHerb,,,,,,
2020-07-27,Collagen Peptides,Protein,157,43.78,6873.46,0.1,2,Canada,Amazon,,,,,,
2020-08-03,Whey Protein,Protein,136,20.44,2779.84,0.01,1,UK,Walmart,22,16,16,41,25,1
2020-08-03,Collagen Peptides,Protein,156,50.48,7874.88,0.24,0,Canada,Walmart,,,,,,
2020-08-10,Whey Protein,Protein,139,14.01,1947.39,0.11,0,Canada,iHerb,,,,,,
2020-08-10,Collagen Peptides,Protein,177,29.11,5152.47,0.14,0,USA,Walmart,,,,,,
2020-08-17,Whey Protein,Protein,163,53.32,8691.16,0.01,2,UK,iHerb,,,,,,
2020-08-17,Collagen Peptides,Protein,141,39.96,5634.36,0.13,1,USA,Amazon,,,,,,
2020-08-24,Whey Protein,Protein,137,20.7,2835.9,0.07,1,UK,iHerb,,,,,,
2020-08-24,Collagen Peptides,Protein,174,49.09,8541.66,0.19,2,Canada,iHerb,,,,,,
2020-08-31,Whey Protein,Protein,176,26.58,4678.08,0.13,2,USA,Walmart,,,,,,
2020-08-31,Collagen Peptides,Protein,132,43.55,5748.6,0.17,1,UK,Walmart,,,,,,
2020-09-07,Whey Protein,Protein,147,22.83,3356.01,0.19,1,UK,Amazon,26,15,15,37,25,1
2020-09-07,Collagen Peptides,Protein,165,10.5,1732.5,0.19,1,USA,Amazon,,,,,,
2020-09-14,Whey Protein,Protein,133,16.19,2153.27,0.02,3,USA,Amazon,,,,,,
2020-09-14,Collagen Peptides,Protein,118,57.78,6818.04,0.24,1,USA,Amazon,,,,,,
2020-09-21,Whey Protein,Protein,145,20.2,2929,0.12,2,Canada,iHerb,,,,,,
2020-09-21,Collagen Peptides,Protein,153,12.48,1909.44,0.06,1,USA,iHerb,,,,,,
2020-09-28,Whey Protein,Protein,142,34.13,4846.46,0.05,4,UK,iHerb,,,,,,
2020-09-28,Collagen Peptides,Protein,161,19.09,3073.49,0.11,0,Canada,iHerb,,,,,,
2020-10-05,Whey Protein,Protein,144,19.88,2862.72,0.2,0,USA,iHerb,23,16,14,40,25,1
2020-10-05,Collagen Peptides,Protein,153,11.82,1808.46,0.01,3,USA,iHerb,,,,,,
2020-10-12,Whey Protein,Protein,131,58.18,7621.58,0.09,1,USA,Walmart,,,,,,
2020-10-12,Collagen Peptides,Protein,148,54.26,8030.48,0.02,1,UK,iHerb,,,,,,
2020-10-19,Whey Protein,Protein,143,18.4,2631.2,0.09,1,Canada,Walmart,,,,,,
2020-10-19,Collagen Peptides,Protein,152,58.59,8905.68,0.13,1,USA,Amazon,,,,,,
2020-10-26,Whey Protein,Protein,148,33.85,5009.8,0.1,3,UK,iHerb,,,,,,
2020-10-26,Collagen Peptides,Protein,148,46.66,6905.68,0.25,1,USA,Amazon,,,,,,
2020-11-02,Whey Protein,Protein,135,53.4,7209,0.15,2,Canada,Amazon,20,13,11,33,25,1
2020-11-02,Collagen Peptides,Protein,153,20.55,3144.15,0.21,0,Canada,Amazon,,,,,,
2020-11-09,Whey Protein,Protein,160,50.58,8092.8,0.07,1,Canada,Amazon,,,,,,
2020-11-09,Collagen Peptides,Protein,133,51.72,6878.76,0.14,2,UK,iHerb,,,,,,
2020-11-16,Whey Protein,Protein,142,27.05,3841.1,0.25,1,UK,Walmart,,,,,,
2020-11-16,Collagen Peptides,Protein,141,16.26,2292.66,0.16,0,USA,iHerb,,,,,,
2020-11-23,Whey Protein,Protein,144,39.82,5734.08,0.07,0,UK,Amazon,,,,,,
2020-11-23,Collagen Peptides,Protein,135,35.03,4729.05,0.23,0,Canada,iHerb,,,,,,
2020-11-30,Whey Protein,Protein,134,19.86,2661.24,0.02,0,Canada,Walmart,,,,,,
2020-11-30,Collagen Peptides,Protein,166,22.64,3758.24,0.02,1,UK,Amazon,,,,,,
2020-12-07,Whey Protein,Protein,155,18.33,2841.15,0.25,3,USA,Walmart,19,14,10,34,25,1
2020-12-07,Collagen Peptides,Protein,147,17.19,2526.93,0,0,Canada,Amazon,,,,,,
2020-12-14,Whey Protein,Protein,149,55.74,8305.26,0.08,4,UK,iHerb,,,,,,
2020-12-14,Collagen Peptides,Protein,146,44.24,6459.04,0.05,1,UK,Walmart,,,,,,
2020-12-21,Whey Protein,Protein,122,36.88,4499.36,0.14,1,Canada,iHerb,,,,,,
2020-12-21,Collagen Peptides,Protein,152,30.9,4696.8,0.21,3,USA,Amazon,,,,,,
2020-12-28,Whey Protein,Protein,146,34.6,5051.6,0.14,1,USA,Amazon,,,,,,
2020-12-28,Collagen Peptides,Protein,143,16.33,2335.19,0.04,1,Canada,Amazon,,,,,,
2021-01-04,Whey Protein,Protein,150,41.25,6187.5,0.24,2,UK,iHerb,30,20,19,45,30,1
2021-01-04,Collagen Peptides,Protein,161,16.78,2701.58,0.04,2,UK,iHerb,,,,,,
2021-01-11,Whey Protein,Protein,161,38.93,6267.73,0.23,2,USA,iHerb,,,,,,
2021-01-11,Collagen Peptides,Protein,126,39.54,4982.04,0.16,0,Canada,Walmart,,,,,,
2021-01-18,Whey Protein,Protein,156,23.88,3725.28,0.23,2,Canada,Walmart,,,,,,
2021-01-18,Collagen Peptides,Protein,151,57.25,8644.75,0.17,0,Canada,Amazon,,,,,,
2021-01-25,Whey Protein,Protein,150,32.03,4804.5,0.21,2,Canada,iHerb,,,,,,
2021-01-25,Collagen Peptides,Protein,134,23.44,3140.96,0.01,2,Canada,Amazon,,,,,,
2021-02-01,Whey Protein,Protein,178,31.22,5557.16,0.18,2,Canada,Amazon,30,19,17,41,30,1
2021-02-01,Collagen Peptides,Protein,172,13.77,2368.44,0.06,2,USA,Walmart,,,,,,
2021-02-08,Whey Protein,Protein,129,56,7224,0.07,1,UK,Walmart,,,,,,
2021-02-08,Collagen Peptides,Protein,131,19.98,2617.38,0.09,1,Canada,Amazon,,,,,,
2021-02-15,Whey Protein,Protein,140,22.56,3158.4,0.08,0,USA,Walmart,,,,,,
2021-02-15,Collagen Peptides,Protein,152,43.09,6549.68,0.09,3,Canada,Walmart,,,,,,
2021-02-22,Whey Protein,Protein,136,57.19,7777.84,0,0,Canada,Walmart,,,,,,
2021-02-22,Collagen Peptides,Protein,145,35.16,5098.2,0.08,2,UK,Walmart,,,,,,
2021-03-01,Whey Protein,Protein,139,19.86,2760.54,0.05,2,Canada,Walmart,28,18,16,41,29,1
2021-03-01,Collagen Peptides,Protein,153,35.15,5377.95,0.02,2,USA,Amazon,,,,,,
2021-03-08,Whey Protein,Protein,165,30.8,5082,0.24,1,UK,Amazon,,,,,,
2021-03-08,Collagen Peptides,Protein,159,32.34,5142.06,0,3,USA,Amazon,,,,,,
2021-03-15,Whey Protein,Protein,177,22,3894,0.02,4,USA,Amazon,,,,,,
2021-03-15,Collagen Peptides,Protein,156,39.29,6129.24,0.15,1,UK,Walmart,,,,,,
2021-03-22,Whey Protein,Protein,145,41.16,5968.2,0.02,1,UK,Walmart,,,,,,
2021-03-22,Collagen Peptides,Protein,151,50.22,7583.22,0.02,2,USA,Amazon,,,,,,
2021-03-29,Whey Protein,Protein,141,35.92,5064.72,0.12,1,Canada,Amazon,,,,,,
2021-03-29,Collagen Peptides,Protein,162,16.55,2681.1,0.19,4,Canada,Walmart,,,,,,
2021-04-05,Whey Protein,Protein,154,43.1,6637.4,0.11,3,UK,Amazon,27,18,16,42,29,1
2021-04-05,Collagen Peptides,Protein,152,17.02,2587.04,0.16,0,Canada,iHerb,,,,,,
2021-04-12,Whey Protein,Protein,149,13.4,1996.6,0.05,0,USA,iHerb,,,,,,
2021-04-12,Collagen Peptides,Protein,151,34.01,5135.51,0.09,1,Canada,Amazon,,,,,,
2021-04-19,Whey Protein,Protein,145,43.48,6304.6,0.24,0,Canada,Walmart,,,,,,
2021-04-19,Collagen Peptides,Protein,152,42.54,6466.08,0.03,1,USA,Walmart,,,,,,
2021-04-26,Whey Protein,Protein,153,15.47,2366.91,0.1,1,USA,Amazon,,,,,,
2021-04-26,Collagen Peptides,Protein,155,14.23,2205.65,0.03,1,UK,Amazon,,,,,,
2021-05-03,Whey Protein,Protein,153,55.83,8541.99,0.18,2,UK,Amazon,26,18,15,41,31,1
2021-05-03,Collagen Peptides,Protein,165,17.86,2946.9,0.17,2,UK,Amazon,,,,,,
2021-05-10,Whey Protein,Protein,161,27.88,4488.68,0.07,2,USA,Walmart,,,,,,
2021-05-10,Collagen Peptides,Protein,155,12.46,1931.3,0.01,2,Canada,Walmart,,,,,,
2021-05-17,Whey Protein,Protein,149,18.56,2765.44,0.19,1,UK,Walmart,,,,,,
2021-05-17,Collagen Peptides,Protein,176,27.1,4769.6,0.23,0,UK,Walmart,,,,,,
2021-05-24,Whey Protein,Protein,176,38.03,6693.28,0.02,1,UK,Walmart,,,,,,
2021-05-24,Collagen Peptides,Protein,138,27.89,3848.82,0,3,USA,Amazon,,,,,,
2021-05-31,Whey Protein,Protein,146,54.03,7888.38,0.1,1,UK,iHerb,,,,,,
2021-05-31,Collagen Peptides,Protein,173,57.51,9949.23,0.02,2,Canada,Amazon,,,,,,
2021-06-07,Whey Protein,Protein,139,55.42,7703.38,0.03,2,UK,iHerb,27,19,15,39,31,1
2021-06-07,Collagen Peptides,Protein,141,27.32,3852.12,0.24,4,UK,Walmart,,,,,,
2021-06-14,Whey Protein,Protein,139,44.15,6136.85,0.17,4,USA,Amazon,,,,,,
2021-06-14,Collagen Peptides,Protein,142,16.35,2321.7,0.23,3,USA,Walmart,,,,,,
2021-06-21,Whey Protein,Protein,123,31.81,3912.63,0.05,2,Canada,Walmart,,,,,,
2021-06-21,Collagen Peptides,Protein,143,18.7,2674.1,0.19,0,Canada,Amazon,,,,,,
2021-06-28,Whey Protein,Protein,170,56.07,9531.9,0.24,0,UK,Walmart,,,,,,
2021-06-28,Collagen Peptides,Protein,160,40.88,6540.8,0.16,0,USA,Walmart,,,,,,
2021-07-05,Whey Protein,Protein,175,33.13,5797.75,0.2,3,UK,iHerb,26,18,16,37,30,1
2021-07-05,Collagen Peptides,Protein,153,35.75,5469.75,0.04,2,Canada,Amazon,,,,,,
2021-07-12,Whey Protein,Protein,140,16.52,2312.8,0.08,0,Canada,iHerb,,,,,,
2021-07-12,Collagen Peptides,Protein,148,24.75,3663,0,0,UK,Walmart,,,,,,
2021-07-19,Whey Protein,Protein,170,19.28,3277.6,0.16,2,UK,Walmart,,,,,,
2021-07-19,Collagen Peptides,Protein,146,55.73,8136.58,0.02,2,USA,iHerb,,,,,,
2021-07-26,Whey Protein,Protein,150,52.37,7855.5,0,1,UK,Amazon,,,,,,
2021-07-26,Collagen Peptides,Protein,142,50.02,7102.84,0.11,2,Canada,iHerb,,,,,,
2021-08-02,Whey Protein,Protein,135,36.69,4953.15,0.04,0,Canada,iHerb,26,16,13,35,30,1
2021-08-02,Collagen Peptides,Protein,167,25.66,4285.22,0.19,1,Canada,iHerb,,,,,,
2021-08-09,Whey Protein,Protein,151,18.22,2751.22,0.2,2,UK,Walmart,,,,,,
